originals	tokenized
No	N o
No	N o
No*	N o*
No	N o
o*	o*
wo*	w o*
No*	N o*
No	N o
no	n o
No	N o
No	N o
No	N o
No	N o
No	N o
No	N o
No	N o
No	N o
No	N o
No	N o
No	N o
No	N o
Na	N a
Na	N a
Na	N a
kaNa	k a N a
na	n a
Na	N a
akka	a k k a
No	N o
Ti	T i
ka	k a
aN	a N
aN	a N
aNka	a N k a
Na	N a
Na	N a
nga	n g a
ngaq	n g a q
Na	N a
uNgu	u N g u
uN	u N
Na	N a
Na	N a
No	N o
uN	u N
Na	N a
Na	N a
No	N o
No	N o
ge	g e
koN	k o N
Na	N a
Na	N a
aNga7	a N g a 7
kagna	k a g n a
Na	N a
Na	N a
Na	N a
No	N o
Na	N a
na	n a
iNga	i N g a
ka	k a
Na	N a
No	N o
Na	N a
ne	n e
gy~e	gy~ e
Na	N a
Na	N a
No	N o
kagna	k a g n a
Na	N a
No	N o
No	N o
go	g o
go	g o
Na	N a
Na	N a
Na	N a
go	g o
Na	N a
Na	N a
Na	N a
caN	c a N
uNgu	u N g u
Na	N a
ka	k a
aN	a N
aN	a N
aNa	a N a
aN	a N
a	a
aN	a N
aN	a N
aN	a N
aN	a N
aN	a N
aN	a N
aN	a N
No	N o
Na	N a
ga	g a
Na	N a
kyw$antau	kyw$ a n t a u
Na	N a
No	N o
Na	N a
No	N o
Na	N a
No	N o
No	N o
Nuo	N u o
Na	N a
Na	N a
Na	N a
Na	N a
No	N o
Nua	N u a
Nua	N u a
No	N o
No	N o
No	N o
i	i
Na	N a
Na	N a
ganom	g a n o m
Na	N a
Na	N a
Na	N a
No	N o
No	N o
No	N o
Na	N a
No	N o
No	N o
gua	g u a
Noh	N o h
ua	u a
wa	w a
gua	g u a
Nuai neiN	N u a i   n e i N
Nuai	N u a i
va	v a
Nai	N a i
wo	w o
wo	w o
wo	w o
Ne	N e
No	N o
Na	N a
kuok	k u o k
No	N o
Nuo	N u o
Nu*	N u*
5aN	5 a N
5aN	5 a N
Na	N a
ha*	h a*
Nai	N a i
Nai	N a i
yE	y E
y3	y 3
ya	y a
he	h e
khw$i	khw$ i
y3	y 3
y3	y 3
ya	y a
kh~i	kh~ i
khw$a	khw$ a
va	v a
a	a
kei mah	k e i   m a h
kei	k e i
kei	k e i
k3y	k 3 y
ka	k a
kei	k e i
ay	a y
ne	n e
e	e
5e	5 e
k3y	k 3 y
k3i	k 3 i
keima	k e i m a
kei	k e i
ei	e i
e	e
i	i
keima	k e i m a
kei	k e i
ei	e i
Na	N a
i	i
i	i
a	a
ai	a i
e	e
kai	k a i
i	i
hi	h i
a	a
koy	k o y
i	i
a	a
ni ye	n i   y e
iya	i y a
hai	h a i
i	i
i	i
kado	k a d o
go	g o
N3	N 3
N3	N 3
No	N o
No	N o
No	N o
Na	N a
tao	t a o
Nei	N e i
ku	k u
Na	N a
Na	N a
Na	N a
Na	N a
aio	a i o
Na	N a
Na	N a
Na	N a
ie	i e
qo	q o
qa	q a
Na	N a
Na	N a
qa	q a
qa	q a
Na	N a
qa	q a
Na	N a
No	N o
No	N o
Na	N a
Nay	N a y
Nag	N a g
NaN	N a N
Na	N a
Na	N a
Nay	N a y
No	N o
No	N o
No	N o
Nu	N u
No	N o
No	N o
ki	k i
No	N o
No	N o
Nu	N u
No	N o
No	N o
No	N o
Na	N a
ko	k o
gu	g u
goh	g o h
Tun	T u n
ya	y a
vaN	v a N
yia	y i a
CuN	C u N
ko	k o
cy~E	cy~ E
je	j e
k3u	k 3 u
vaN	v a N
vaN	v a N
mi	m i
ya	y a
ku	k u
ko	k o
vi	v i
v3	v 3
CuN	C u N
we	w e
we	w e
vaN	v a N
wa	w a
va	v a
va	v a
CuN	C u N
vh~o*	vh~ o*
ku	k u
vai	v a i
weN	w e N
yia	y i a
ya	y a
ku	k u
ku	k u
kuN	k u N
vaN	v a N
ku	k u
k3u	k 3 u
ko	k o
ya	y a
ku	k u
we	w e
we	w e
vi	v i
ye	y e
vo	v o
vai	v a i
hou	h o u
de	d e
kau	k a u
hou	h o u
hou	h o u
aku	a k u
hu	h u
ku	k u
ku	k u
i	i
k3	k 3
ku	k u
i	i
i	i
i	i
azi	a z i
ki	k i
ci	c i
ki	k i
ci	c i
ku	k u
z3	z 3
i	i
ku	k u
e	e
ku	k u
ku	k u
kau	k a u
in	i n
khw$i	khw$ i
kh~u	kh~ u
kia3	k i a 3
kau	k a u
ku	k u
ku	k u
ye	y e
ye	y e
kau	k a u
kau	k a u
ku	k u
h3i	h 3 i
hau	h a u
e	e
ku	k u
kou	k o u
kou	k o u
toxa	t o x a
ku	k u
toxa	t o x a
ku	k u
ku	k u
xoi	x o i
yau	y a u
ku	k u
kou	k o u
a	a
pon	p o n
xaCau	x a C a u
ku	k u
kh~oy	kh~ o y
ku	k u
ku	k u
hau	h a u
ku	k u
No	N o
lai7	l a i 7
kh~oy	kh~ o y
ku	k u
kaw	k a w
ku	k u
kaw	k a w
3i	3 i
h3i	h 3 i
kau	k a u
kau	k a u
kau	k a u
h"e	h" e
ko	k o
tuxo	t u x o
h3i	h 3 i
No	N o
kau	k a u
kaw	k a w
kawkh~a	k a w kh~ a
No	N o
kau	k a u
hau	h a u
ya	y a
ku	k u
kaw	k a w
kaw	k a w
ku	k u
kou	k o u
ku	k u
ku	k u
yu	y u
7y~e	7y~ e
kaw	k a w
kaw	k a w
kEw	k E w
tu	t u
kh~a	kh~ a
kou	k o u
kau	k a u
cia	c i a
yu	y u
ku	k u
Ch~an	Ch~ a n
ph~om	ph~ o m
yEu	y E u
yu	y u
ku	k u
ku	k u
kan	k a n
xa	x a
kaw	k a w
kaw	k a w
kaw	k a w
kow	k o w
ku	k u
kaw	k a w
ku	k u
ku	k u
kaw	k a w
3u	3 u
k3w	k 3 w
k3u	k 3 u
yiu	y i u
yiu	y i u
ku	k u
Th~an	Th~ a n
Th~an	Th~ a n
kh~a	kh~ a
kraphom	k r a p h o m
ku	k u
rao	r a o
tu	t u
ku	k u
kh~a	kh~ a
yau	y a u
ku	k u
ku	k u
ku	k u
kau	k a u
kau	k a u
kou	k o u
he	h e
ku	k u
ku	k u
kou	k o u
kau	k a u
kau	k a u
yau	y a u
kou	k o u
kau	k a u
kau	k a u
yE7	y E 7
jE7	j E 7
iN	i N
iha*7	i h a* 7
yE7	y E 7
ye7	y e 7
yE7	y E 7
ic	i c
3735	3 7 3 5
yE7	y E 7
iN	i N
E5	E 5
E5	E 5
yEh	y E h
35	3 5
i*5	i* 5
ye7	y e 7
a7oc	a 7 o c
i5	i 5
i5	i 5
i5	i 5
ay	a y
a5	a 5
7a5	7 a 5
a5	a 5
i5	i 5
7a5	7 a 5
go	g o
a5	a 5
aut	a u t
au	a u
ay	a y
he	h e
7ay	7 a y
he	h e
7ay	7 a y
a5	a 5
ay	a y
a	a
aL	a L
a5	a 5
a5	a 5
a5	a 5
ay	a y
aw	a w
au	a u
a5	a 5
ay	a y
a	a
a5	a 5
he	h e
he	h e
7a5	7 a 5
a5	a 5
a	a
Nko7	N k o 7
Nka7	N k a 7
ku	k u
ku	k u
hay	h a y
hay	h a y
kow	k o w
hay	h a y
kaw	k a w
k3	k 3
o7	o 7
Na	N a
Na	N a
Na	N a
nia	n i a
kh~3nom	kh~ 3 n o m
kh~5um	kh~ 5 u m
a5	a 5
ay	a y
oa	o a
oa	o a
e5	e 5
oy	o y
TinT3	T i n T 3
Ta	T a
Tua	T u a
o	o
o	o
au	a u
i5	i 5
i5	i 5
eN	e N
i5	i 5
i5	i 5
i5	i 5
E5	E 5
in	i n
in	i n
naiN	n a i N
an	a n
in	i n
a5	a 5
a5	a 5
in	i n
ain	a i n
ai5	a i 5
in	i n
in	i n
in	i n
in	i n
in	i n
in	i n
niN	n i N
i5	i 5
5en	5 e n
5en	5 e n
o7	o 7
au7	a u 7
o7	o 7
jo	j o
da	d a
u7	u 7
o7	o 7
o7	o 7
ai	a i
o	o
o7	o 7
zo	z o
o7	o 7
a5	a 5
a5	a 5
a7	a 7
a37	a 3 7
35	3 5
a 7u	a   7 u
o7	o 7
o7	o 7
o	o
o	o
3t	3 t
o7	o 7
o7	o 7
ow	o w
o	o
37	3 7
o37	o 3 7
37	3 7
e	e
o	o
o7	o 7
au7	a u 7
o7	o 7
ho	h o
ho	h o
toy	t o y
ho	h o
ho	h o
kan	k a n
toi	t o i
tao	t a o
toi	t o i
toi	t o i
iho*	i h o*
d	d
dol	d o l
dola	d o l a
tio	t i o
tui	t u i
lotule	l o t u l e
t	t
t	t
tul	t u l
dolla	d o l l a
mi	m i
mi	m i
mi	m i
waNku	w a N k u
ikuiN	i k u i N
8aku7	8 a k u 7
si7	s i 7
kuziN	k u z i N
yaku	y a k u
saikin	s a i k i n
kuyiN	k u y i N
yaku	y a k u
aku7	a k u 7
yaku7	y a k u 7
yako	y a k o
kiNan	k i N a n
ku7	k u 7
saku7	s a k u 7
sak	s a k
a8ak	a 8 a k
kak	k a k
a8ak	a 8 a k
yaku	y a k u
yaku	y a k u
i7aku	i 7 a k u
iaku	i a k u
iaku	i a k u
aku	a k u
ku	k u
iaku	i a k u
i7aku	i 7 a k u
iaku	i a k u
iaku	i a k u
aku7	a k u 7
iCaN	i C a N
aku	a k u
kayi	k a y i
zaho	z a h o
aku	a k u
ku	k u
aku	a k u
aku	a k u
aku7	a k u 7
yaku7	y a k u 7
ap	a p
ahu	a h u
iahu	i a h u
izahu	i z a h u
zahu	z a h u
zaho	z a h o
zaho	z a h o
za	z a
ahu	a h u
iaho	i a h o
zahu	z a h u
ahu	a h u
zahu	z a h u
zaho	z a h o
ahu	a h u
zaho	z a h o
izaho	i z a h o
izaho	i z a h o
za	z a
zahu	z a h u
zahu	z a h u
zaho	z a h o
zaho	z a h o
zaho	z a h o
zaho	z a h o
zaho	z a h o
izahu	i z a h u
iaho	i a h o
iao	i a o
izaho	i z a h o
zaho	z a h o
iaho	i a h o
izahu	i z a h u
zahu	z a h u
zahu	z a h u
rano	r a n o
irano	i r a n o
zaho	z a h o
izahu	i z a h u
zaho	z a h o
izahu	i z a h u
iahu	i a h u
aku7	a k u 7
yaku7	y a k u 7
ako	a k o
aku	a k u
uki7	u k i 7
aku	a k u
akuh	a k u h
ap	a p
ap	a p
go	g o
au	a u
au	a u
nuwa	n u w a
au	a u
emb~ie	e mb~ i e
E7u	E 7 u
jau	j a u
jau	j a u
au	a u
na7a	n a 7 a
nahu	n a h u
lamada	l a m a d a
ya7aho	y a 7 a h o
ya so	y a   s o
a	a
yako	y a k o
E	E
ai	a i
ai	a i
ya7a	y a 7 a
ku	k u
sa7u	s a 7 u
au	a u
ui	u i
ak	a k
a7u	a 7 u
a7u	a 7 u
aoe	a o e
au	a u
nu	n u
ja7o	j a 7 o
ao	a o
au	a u
auw	a u w
ya	y a
yayo	y a y o
aku	a k u
a7u	a 7 u
yau	y a u
au	a u
au	a u
ui	u i
5uNa	5 u N a
ai7o	a i 7 o
e7i	e 7 i
ya7a	y a 7 a
Na7o	N a 7 o
yau	y a u
la7	l a 7
go7e	g o 7 e
goe	g o e
nauwa	n a u w a
a7u	a 7 u
au	a u
5uNg~a	5 u Ng~ a
aku	a k u
a7u	a 7 u
au	a u
yauwa	y a u w a
aku	a k u
akoe	a k o e
ya	y a
cao	c a o
ok	o k
wa7u	w a 7 u
yawu	y a w u
jau	j a u
yai	y a i
aku	a k u
au	a u
au	a u
au	a u
nauwa	n a u w a
iaku	i a k u
iaku	i a k u
aijau	a i j a u
au	a u
hau	h a u
hau	h a u
au	a u
ya	y a
yai	y a i
yau	y a u
a	a
au	a u
awa	a w a
jau	j a u
jawa	j a w a
ui	u i
ha7u	h a 7 u
za7o	z a 7 o
aku	a k u
um	u m
5uNg~a	5 u Ng~ a
ga7u	g a 7 u
a	a
au	a u
awa	a w a
jau	j a u
jawa	j a w a
jau	j a u
jau	j a u
ok	o k
ui	u i
au	a u
wau	w a u
au	a u
a	a
yau	y a u
ak	a k
yanu	y a n u
laun	l a u n
5ouwa	5 o u w a
aku	a k u
ak	a k
zauwa	z a u w a
odo	o d o
yaku	y a k u
hu	h u
co7	c o 7
aku	a k u
aku	a k u
aku	a k u
kami	k a m i
aku	a k u
kami	k a m i
iNsun	i N s u n
isun	i s u n
ku	k u
Nhulun	N h u l u n
ibid	i b i d
eyaN	e y a N
reyaN	r e y a N
esun	e s u n
aku	a k u
j3p	j 3 p
aki	a k i
kuy	k u y
ku	k u
akuy	a k u y
au	a u
kuy	k u y
5o7	5 o 7
5o7	5 o 7
5o7	5 o 7
5o7	5 o 7
o5o7	o 5 o 7
5o7	5 o 7
5o7	5 o 7
o5o7	o 5 o 7
o5o7	o 5 o 7
5a7	5 a 7
5o7	5 o 7
5o7ku	5 o 7 k u
5a7	5 a 7
5a7	5 a 7
5a7	5 a 7
5o7	5 o 7
5o7	5 o 7
35ak	3 5 a k
5o7	5 o 7
53ku	5 3 k u
5o7	5 o 7
5o7	5 o 7
5ok	5 o k
5o7	5 o 7
5ok	5 o k
iyu7	i y u 7
aku	a k u
oku	o k u
aku	a k u
oko	o k o
ma7	m a 7
ikin	i k i n
aku	a k u
seNk~o7	s e Nk~ o 7
beta	b e t a
beta	b e t a
bia	b i a
lon	l o n
aku	a k u
aku	a k u
kadiaku7	k a d i a k u 7
kaw	k a w
hl~un	hl~ u n
hulin	h u l i n
kau	k a u
k3mi	k 3 m i
saya	s a y a
aku	a k u
aku	a k u
aku	a k u
saya	s a y a
saya	s a y a
aku	a k u
zon	z o n
aku	a k u
k3o	k 3 o
akaw	a k a w
akao	a k a o
aku	a k u
sayo	s a y o
beta	b e t a
ana	a n a
ko	k o
okoe	o k o e
saya	s a y a
aku	a k u
amo	a m o
kita	k i t a
amb~o	a mb~ o
ku	k u
kou	k o u
aku	a k u
aku	a k u
k3u	k 3 u
hulun	h u l u n
aku	a k u
kao	k a o
aku	a k u
aku	a k u
beta	b e t a
beta	b e t a
aku	a k u
aku	a k u
kita	k i t a
kaw	k a w
ku	k u
aku	a k u
aku	a k u
ako	a k o
7aku	7 a k u
aku	a k u
ou	o u
aku	a k u
qaku	q a k u
ako	a k o
ako	a k o
aku	a k u
ako	a k o
ko	k o
ako	a k o
ako	a k o
ako	a k o
qaku	q a k u
aku	a k u
qaku	q a k u
Eko	E k o
Eko	E k o
aku	a k u
ako	a k o
takon	t a k o n
qaku	q a k u
qaku	q a k u
ha7o	h a 7 o
aku	a k u
qaku	q a k u
qaku	q a k u
ako	a k o
aku	a k u
aku	a k u
qaku	q a k u
qaku	q a k u
qaku	q a k u
qaku	q a k u
aku	a k u
ako	a k o
aku	a k u
aku	a k u
7aku	7 a k u
aku	a k u
Eko	E k o
7aku	7 a k u
qaku	q a k u
qaku	q a k u
ako	a k o
ko	k o
ako	a k o
ako	a k o
7aku	7 a k u
aku	a k u
yuu	y u u
aku	a k u
akuh	a k u h
aku	a k u
ako	a k o
ako	a k o
Cuy	C u y
iyok	i y o k
si73n	s i 7 3 n
tiyak	t i y a k
tan	t a n
sikan	s i k a n
ha7on	h a 7 o n
siko	s i k o
sak73n	s a k 7 3 n
sak3n	s a k 3 n
sak7~3n	s a k7~ 3 n
ak	a k
sak3n	s a k 3 n
hikan	h i k a n
ikkanak	i k k a n a k
sih7~kak	s i h7~ k a k
so7	s o 7
ha77on	h a 7 7 o n
ha77in	h a 7 7 i n
ha77en	h a 7 7 e n
siak	s i a k
si7ak	s i 7 a k
si7kak	s i 7 k a k
iya7	i y a 7
iya7	i y a 7
yEkEn	y E k E n
yak3n	y a k 3 n
diyak3n	d i y a k 3 n
yak3n	y a k 3 n
sa7on	s a 7 o n
sakon	s a k o n
hi7gak	h i 7 g a k
hi7gak	h i 7 g a k
sak7in	s a k 7 i n
aku	a k u
sakon	s a k o n
siak	s i a k
siko	s i k o
hiko	h i k o
ako	a k o
ko	k o
yak3n	y a k 3 n
aku	a k u
ku	k u
uih	u i h
kaw	k a w
akew	a k e w
aku7	a k u 7
aku	a k u
ku	k u
ok	o k
hok	h o k
ko	k o
ioho	i o h o
akau	a k a u
akau	a k a u
aku	a k u
ako	a k o
ko	k o
kau	k a u
akow	a k o w
oi	o i
akoh	a k o h
uwi	u w i
akew	a k e w
kau	k a u
yoku	y o k u
akau	a k a u
aku	a k u
aku	a k u
ku	k u
we	w e
kuji	k u j i
ako	a k o
ci	c i
go	g o
inau	i n a u
inau	i n a u
inau	i n a u
maha	m a h a
iou	i o u
ci	c i
nau	n a u
a5ak	a 5 a k
wau	w a u
au	a u
kau	k a u
nau	n a u
nana	n a n a
na	n a
wan	w a n
yau	y a u
camag	c a m a g
au	a u
inau	i n a u
na	n a
ina	i n a
ineu	i n e u
anu	a n u
aroNgo	a r o N g o
axanau	a x a n a u
xanau	x a n a u
anau	a n a u
yu	y u
zi	z i
inu	i n u
nu	n u
inu	i n u
inu	i n u
inau	i n a u
ki5o	k i 5 o
Na	N a
na	n a
ninge	n i n g e
gou	g o u
au	a u
ei	e i
inau	i n a u
inau	i n a u
ki5u	k i 5 u
ki5u	k i 5 u
kinu	k i n u
kinu	k i n u
naN	n a N
kana	k a n a
kana	k a n a
Na	N a
au	a u
nam	n a m
iau	i a u
ara	a r a
yau	y a u
dieuw	d i e u w
sa	s a
sa	s a
cio	c i o
ae	a e
inau	i n a u
yau	y a u
au	a u
taugu	t a u g u
inau	i n a u
nau	n a u
inau	i n a u
na	n a
iyayeku	i y a y e k u
NaN	N a N
Ey	E y
e	e
nau	n a u
iara	i a r a
Eja	E j a
nie	n i e
nie	n i e
aiy	a i y
aya	a y a
ca	c a
eni	e n i
inieti	i n i e t i
nau	n a u
iyaeku	i y a e k u
3Ng~3ne	3 Ng~ 3 n e
kEnE	k E n E
abo7agu	a b o 7 a g u
inau	i n a u
nau	n a u
rai	r a i
ciyi	c i y i
ahe7	a h e 7
neu	n e u
nou	n o u
neu	n e u
avau	a v a u
au	a u
Na	N a
kou	k o u
kinou	k i n o u
nau	n a u
nau	n a u
maha	m a h a
au	a u
abau	a b a u
nau	n a u
bau	b a u
au	a u
koau	k o a u
na	n a
Na	N a
Na	N a
nau	n a u
iara	i a r a
yau	y a u
yau	y a u
ahi	a h i
aku	a k u
aliya	a l i y a
alia	a l i a
inau	i n a u
wau	w a u
wau	w a u
au	a u
wau	w a u
noko	n o k o
rao	r a o
yah	y a h
i5a	i 5 a
yau	y a u
ae	a e
mo	m o
inE	i n E
gya	g y a
kyau	k y a u
aiyew	a i y e w
iau	i a u
yo	y o
au	a u
dieuw	d i e u w
ne	n e
nenia	n e n i a
ra	r a
nai	n a i
nai	n a i
No	N o
noxo	n o x o
rauno	r a u n o
au	a u
kia	k i a
yegu	y e g u
Nai	N a i
au	a u
u	u
rei	r e i
ara	a r a
inau	i n a u
na	n a
eiau	e i a u
aey	a e y
jau	j a u
rao	r a o
Na	N a
nau	n a u
nau	n a u
iow	i o w
nau	n a u
kine	k i n e
kina	k i n a
7ae	7 a e
na	n a
lau	l a u
e	e
onu	o n u
inau	i n a u
Na	N a
ilau	i l a u
au	a u
7u	7 u
no7u	n o 7 u
to7u	t o 7 u
iNg~3n	i Ng~ 3 n
ay	a y
nau	n a u
nau	n a u
no	n o
inE	i n E
yo	y o
iara	i a r a
konou	k o n o u
nE	n E
inau	i n a u
n3g3n3	n 3 g 3 n 3
yi	y i
nu	n u
kinu	k i n u
nu	n u
inu	i n u
nu	n u
kinu	k i n u
kinu	k i n u
ye	y e
ina	i n a
xine	x i n e
aro	a r o
nau	n a u
yu	y u
ni	n i
na	n a
Na	N a
aNau	a N a u
nau	n a u
au	a u
ara	a r a
biau	b i a u
inau	i n a u
nenia	n e n i a
xono	x o n o
xono	x o n o
nau	n a u
nau	n a u
tnau	t n a u
a	a
nau	n a u
inau	i n a u
oo	o o
iau	i a u
yum	y u m
Ng~ina	Ng~ i n a
xunu	x u n u
xunu	x u n u
Nau	N a u
eyau	e y a u
sa	s a
5o	5 o
koau	k o a u
au	a u
ahau	a h a u
sa	s a
k3n3k	k 3 n 3 k
si7ya	s i 7 y a
nau	n a u
ci	c i
inau	i n a u
raka	r a k a
au	a u
Nah	N a h
kinau	k i n a u
No	N o
Nau	N a u
eau	e a u
nau	n a u
nau	n a u
ra	r a
inau	i n a u
Nau	N a u
lau	l a u
abau	a b a u
iau	i a u
ino	i n o
ina	i n a
8auke	8 a u k e
iau	i a u
nou	n o u
yu	y u
Noah	N o a h
Noahi	N o a h i
nau	n a u
inau	i n a u
ya7a	y a 7 a
ha	h a
mafa	m a f a
nau	n a u
nau	n a u
ino	i n o
eno	e n o
inau	i n a u
ino	i n o
lau	l a u
oN	o N
NoN	N o N
xina	x i n a
wir	w i r
wir	w i r
axi	a x i
yau	y a u
yegw~	y e gw~
yey	y e y
Na	N a
eau	e a u
Eau	E a u
nia	n i a
ke7ino	k e 7 i n o
ke7ino	k e 7 i n o
ke7ina	k e 7 i n a
keno	k e n o
ning3	n i n g 3
ni	n i
na	n a
nau	n a u
kinaNk~	k i n a Nk~
ayu	a y u
a	a
aNa	a N a
inau	i n a u
inau	i n a u
nau	n a u
ni	n i
ning3	n i n g 3
ninga	n i n g a
ni	n i
iNgo	i N g o
na	n a
wo	w o
naba	n a b a
inu	i n u
kh~ina	kh~ i n a
nau	n a u
nau	n a u
nau	n a u
nau	n a u
nau	n a u
kau	k a u
nau	n a u
ni	n i
ni	n i
kinau	k i n a u
kinau	k i n a u
kinau	k i n a u
kinau	k i n a u
kinau	k i n a u
yaw	y a w
au	a u
anau	a n a u
woya	w o y a
na	n a
To	T o
iyo7	i y o 7
inau	i n a u
no	n o
nau	n a u
inau	i n a u
inau	i n a u
inau	i n a u
inau	i n a u
yew	y e w
ah	a h
iau	i a u
nau	n a u
a	a
aiau	a i a u
nio	n i o
N3i	N 3 i
NEi	N E i
a	a
Nehi	N e h i
nau	n a u
na	n a
ya	y a
inau	i n a u
niE	n i E
au	a u
Na	N a
Nau	N a u
iau	i a u
au	a u
kita	k i t a
aku	a k u
au	a u
NaNu	N a N u
u	u
gagu	g a g u
eku	e k u
aku	a k u
Nanu	N a n u
NaN	N a N
Na	N a
inau	i n a u
nio	n i o
au	a u
au	a u
nau	n a u
au	a u
nENg~3ne	n E Ng~ 3 n e
xina	x i n a
ra	r a
na7a	n a 7 a
nia	n i a
au	a u
Nou	N o u
Noua	N o u a
arau	a r a u
vau	v a u
au	a u
eu	e u
yau	y a u
ita	i t a
a7u	a 7 u
a7u	a 7 u
inau	i n a u
ni	n i
ai	a i
Na	N a
nou	n o u
aro	a r o
Na	N a
na	n a
na	n a
iau	i a u
iau	i a u
ciyi	c i y i
ara	a r a
kuka	k u k a
woya	w o y a
wi	w i
si	s i
aro	a r o
yo	y o
mwa	m w a
ni	n i
mwade	m w a d e
yau	y a u
yawase	y a w a s e
ena	e n a
NaNu	N a N u
dy~ew	dy~ e w
kineu	k i n e u
kineu	k i n e u
yaw	y a w
kinaN	k i n a N
kinaN	k i n a N
inau	i n a u
inau	i n a u
iow	i o w
iow	i o w
iow	i o w
no	n o
yau	y a u
ino	i n o
si	s i
yo	y o
na	n a
au	a u
au	a u
vau	v a u
au	a u
vau	v a u
aiNa	a i N a
Nai	N a i
anau	a n a u
ina	i n a
yau	y a u
inau	i n a u
nana	n a n a
ai	a i
yau	y a u
enau	e n a u
k3n3k	k 3 n 3 k
uk	u k
nau	n a u
iara	i a r a
no	n o
tau	t a u
inE	i n E
ene	e n e
ea	e a
eana	e a n a
niau	n i a u
nak	n a k
kau	k a u
nau	n a u
neh beteiy	n e h   b e t e i y
nok3	n o k 3
au	a u
kita	k i t a
ko	k o
iau	i a u
nau	n a u
nau	n a u
ku	k u
kau	k a u
au	a u
inau	i n a u
ha	h a
NaN	N a N
wu	w u
yau	y a u
vau	v a u
aueo	a u e o
na	n a
ra	r a
na	n a
nau	n a u
au	a u
au	a u
yau	y a u
rau	r a u
arau	a r a u
nau	n a u
geau	g e a u
ineu	i n e u
NaN	N a N
xina	x i n a
yau	y a u
nu	n u
nu	n u
aria	a r i a
ara	a r a
nau	n a u
nau	n a u
ina	i n a
era	e r a
enE	e n E
eno	e n o
no	n o
gau	g a u
inau	i n a u
keh	k e h
inau	i n a u
inau	i n a u
nio	n i o
nau	n a u
koau	k o a u
eca	e c a
eca7	e c a 7
ci	c i
tau	t a u
na	n a
naniak	n a n i a k
ina	i n a
nE	n E
va	v a
gaNiu	g a N i u
i	i
nau	n a u
nau	n a u
inau	i n a u
nau	n a u
au	a u
na*	n a*
eu	e u
ya	y a
ci	c i
ara	a r a
ara	a r a
arahi	a r a h i
ah	a h
aku	a k u
kako	k a k o
ako	a k o
aku	a k u
yaku	y a k u
tia73n	t i a 7 3 n
aku	a k u
kako	k a k o
kaku	k a k u
kaku	k a k u
ina	i n a
aiku7	a i k u 7
aiku	a i k u
Eiku	E i k u
Eiku	E i k u
iNku	i N k u
iNku	i N k u
ku	k u
ako	a k o
aken	a k e n
ide	i d e
inli	i n l i
naka	n a k a
ujiga	u j i g a
uji	u j i
loli	l o l i
yaku7	y a k u 7
yako	y a k o
kuiku	k u i k u
tiaq3n	t i a q 3 n
aq3n	a q 3 n
yako7	y a k o 7
ya7o7	y a 7 o 7
yao	y a o
tiak3n	t i a k 3 n
yako	y a k o
yaku	y a k u
tiak3n	t i a k 3 n
yako	y a k o
yao	y a o
Nak	N a k
uku	u k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
ku	k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
aku	a k u
yau	y a u
yene	y e n e
yau	y a u
anE	a n E
aya	a y a
aya	a y a
in	i n
ya	y a
ine	i n e
ya	y a
yak	y a k
ane	a n e
yak	y a k
ja	j a
ne	n e
abi	a b i
yene	y e n e
ia	i a
aya	a y a
yene	y e n e
yak	y a k
yaka	y a k a
aia	a i a
ene	e n e
iwa	i w a
igw~a	i gw~ a
yau	y a u
ya	y a
iau	i a u
iau	i a u
ya	y a
ene	e n e
ya	y a
yau	y a u
yaneya	y a n e y a
ayae	a y a e
dy~au	dy~ a u
yau	y a u
iwi	i w i
ra	r a
ya	y a
yene	y e n e
yau	y a u
ia	i a
Tue	T u e
ene	e n e
agu	a g u
agu	a g u
o7uh	o 7 u h
nu7 s3h	n u 7   s 3 h
gunun s3bla7	g u n u n   s 3 b l a 7
begen	b e g e n
gu	g u
u	u
si7ak	s i 7 a k
aku	a k u
saken	s a k e n
a	a
Eku	E k u
ku	k u
sikanak	s i k a n a k
si7ak	s i 7 a k
kanak	k a n a k
a	a
si7ak3n	s i 7 a k 3 n
ak3n	a k 3 n
si7ak	s i 7 a k
si7ak	s i 7 a k
si7ak	s i 7 a k
ako	a k o
aku	a k u
ku	k u
akon	a k o n
inan	i n a n
a	a
ku	k u
ak	a k
kodi7	k o d i 7
kodo	k o d o
sau	s a u
iaku	i a k u
ia7	i a 7
aku	a k u
ind~a7u	i nd~ a 7 u
yaku7	y a k u 7
iaku	i a k u
kado7	k a d o 7
kao	k a o
kodi	k o d i
i	i
aq	a q
aku	a k u
luni	l u n i
aleu	a l e u
nake	n a k e
Eku	E k u
kao	k a o
hia7u	h i a 7 u
ha7u	h a 7 u
ind~a7u	i nd~ a 7 u
ia7u	i a 7 u
iak	i a k
watiya	w a t i y a
oidi	o i d i
aka	a k a
inoi	i n o i
iyaku	i y a k u
iaku	i a k u
inoi	i n o i
inoi	i n o i
kado7	k a d o 7
kao	k a o
inahu	i n a h u
kodi7	k o d i 7
nakke	n a k k e
iNkude	i N k u d e
uNkude	u N k u d e
ia7u	i a 7 u
aku	a k u
